P1E Nummer;P89 Nummer;P89 Alternativ;Material Kurztext
1910512138;0000471034;;Sicherungsring 90x3 DIN471
1910564059;0000625342;;Rillenkugellager 6211-2ZR
1910367633;0000912134;;Zylinderschraube M16x65 8.8 vz
8000694924;0000912168;;Zylinderschraube M3x12 8.8 vz
1910367635;0000912172;;Zylinderschraube M4x12 8.8 verzinkt
1910367636;0000912188;;Zylinderschraube M4x10 8.8 vz
8000694948;0000912200;;Zylinderschraube M4x8 8.8 vz DIN912
1910367637;0000914005;;Gewindestift M5x16 45H St vz
8001363246;0000988008;;Passscheibe 20x28x1
8000690848;0006885030;;Passfeder A8x7x50 DIN6885
1910367638;0007985026;;Kombischraube M3x8 Z4-1 4.8 vz
8001413541;0007985030;;Kombischraube M4x8 Z3 St vz
1910512161;0098103610;21152;Achshalter 30x8x13
1910512162;0098104610;;Achshalter 40x10x13
1910512163;0098105610;;Achshalter 50x12x180x140x17
1910367643;0098106610;;Achshalter 60x5x18
1910364342;0098150710;;Schlitzbeilage 0,15
1910209124;0098152710;;Schlitzbeilage 50x50 D1mm
1910367652;0098158710;;Schlitzbeilage 1 100x50mm 1mm stark
1910209125;0098165710;;Schlitzbeilage 11mm stark
1910367654;0098166710;;Schlitzbeilage 2
1910367655;0098201100;;Türfeststeller 10/22x13
1910367656;0098202160;;Schwingmetallpuffer 50Dx30 M10
1910367657;0098202200;;Puffer D50xd17x52
1910207096;0098203160;;Schwingmetallpuffer M8 D30x20x70
1910367661;0098203200;;Elastomerfeder 13,5/32x50
1910363733;0098204170;;Puffer 30x20xM8 für Getriebemotor
1910367663;0098205160;;Schwingmetallpuffer 15x7 M4
1910207097;0098205170;;Puffer 30x20xM6
1910207098;0098207170;;Metall Gummipuffer D15x15xM4
1910365918;0098207600;;Sterngriff 58,8xD50
1910367667;0098208100;;Stossdaempfer
1910564060;0098209100;;Dictator Z 1009
1910207099;0098209160;;Puffer 15x30xM4
1910367669;0098209170;;Gummipuffer 25x20
1910365952;0098210160;;Puffer 25x20xM6
1910367672;0098210200;;Gummipuffer 60/100x50
1910207101;0098210600;;Drehriegel mit Schliesszylinder
1910367679;0098211100;;Daempfer
1910363780;0098211160;;Puffer 30x20xM8 mitGewindstange
1910367684;0098211200;;Elastomerfeder 17/50x50
1910367685;0098211600;;Scharnier 165G Deckplatte
1910367686;0098212160;0098212160_L;Puffer 15x20xM4
1910367687;0098212200;;Gummipuffer 85x32
1910207102;0098218200;;Elastomerfeder 17/40x50
1910207103;0098219200;;Elastomerfeder 17/40x63
1910207104;0098229200;;Elastomerfeder 21/50x50
1910367691;0098230200;;Elastomerfeder 21/50x63
1910564061;0098401480;;S Haken L23 St verzinkt
1910207105;0098403020;;Buchse mit Bund D12xd10x6
1910209126;0098403280;;Seilklemme 3-3,5
1910367621;0098403490;;Knotenkette K16x2,5
1910367694;0098404020;;Buchse D17xd15x6 mit Bund
1910367697;0098409010;;Buchse D 20.2H/25R6x20
1910367698;0098410010;;Buchse D 20.2H7/25R6x24
8001332217;0098411020;;Bundbuchse 25x28x21,5-DU
1910207106;0098411200;;ZB Seilschloss Gr.6,5
1910367700;0098413020;;Buchse BB 2522 DU mit Bund D28xd25x21,5
1910367622;0098419010;;Buchse MB 4530 DU
8001363342;0098421010;;Buchse MB 2520 DU
1910367712;0098422010;;Buchse MB 3020 DU
1910564062;0098425010;;Buchse MB 1612 DU
1910367714;0098501920;;Federsplint 12x2
1910367716;0098502100;;Hakenkopfschraube HS M12x40 GV-S 4.6 MU
1910367717;0098503080;;Friesleistenschraube AM5x15 St
1910367718;0098503100;;Hakenkopfschraube M16x40 MU 4.6 vz
1910367719;0098503920;;Federsplint 20x3
1910367720;0098505080;;Friesleistenschraube M5x10 St
1910367721;0098506080;;Friesleistenschraube M5x20 St
1910367722;0098512100;;Hakenkopfschraube M16x50 MU 4.6 vz
1910367723;0098512600;;Scheibe 5,3x20x2 vz
